ortholog	carb	flav	macro
o997	TR12787-c0_g2_i2	TR41694-c0_g1_i1	TR44736-c0_g1_i1
o998	TR30762-c1_g1_i4	TR11369-c0_g3_i1	TR35723-c0_g3_i1
o999	TR61741-c3_g4_i3	TR5005-c1_g1_i4	TR35726-c1_g2_i1
o1000	TR53190-c0_g1_i1	TR36574-c0_g1_i1	TR35662-c0_g1_i1
o1001	TR22048-c0_g9_i2	TR44958-c0_g1_i1	Matched_to_other_by_FastOrtho
o1002	TR50157-c0_g1_i1	TR30940-c0_g1_i1	TR35675-c0_g1_i2
o1003	TR54245-c4_g2_i1	TR46717-c0_g4_i2	Matched_to_other_by_FastOrtho
o1004	TR35241-c0_g2_i1	Matched_to_other_by_FastOrtho	TR35703-c0_g1_i1
o1005	TR10096-c3_g6_i1	TR48807-c0_g6_i4	TR35721-c3_g1_i1
o1006	Matched_to_other_by_FastOrtho	TR48807-c0_g6_i5	TR35721-c3_g1_i2
o1007	TR39243-c0_g3_i1	TR4475-c0_g1_i1	TR35988-c1_g1_i1
o1008	TR39243-c0_g2_i1	TR4475-c0_g6_i1	TR35988-c1_g4_i1
o1009	TR7492-c1_g3_i1	TR2145-c0_g4_i2	TR35972-c1_g1_i5
o1010	TR10360-c1_g8_i4	TR34247-c0_g2_i1	TR35972-c2_g5_i2
o1011	TR50004-c0_g6_i3	TR38866-c1_g1_i1	TR35950-c0_g1_i2
o1012	TR51019-c0_g1_i1	TR47218-c0_g2_i1	TR35956-c5_g1_i1
o1013	TR27798-c0_g5_i1	TR6940-c0_g2_i1	TR35918-c1_g5_i1
o1014	TR52854-c0_g1_i1	TR7029-c0_g1_i1	TR35920-c0_g1_i1
o1015	TR40630-c0_g1_i1	TR24507-c0_g1_i1	TR35084-c0_g1_i1
o1016	TR7907-c0_g2_i1	TR19008-c0_g2_i1	TR41767-c1_g1_i1
o1017	TR61205-c0_g3_i13	TR43129-c0_g1_i4	TR41746-c0_g1_i1
o1018	TR34454-c0_g1_i1	TR48301-c0_g2_i2	TR41738-c0_g2_i1
o1019	TR45753-c0_g1_i4	TR10478-c0_g1_i1	TR41796-c0_g7_i1
o1020	TR29389-c1_g1_i1	TR8199-c0_g4_i2	Matched_to_other_by_FastOrtho
o1021	TR21094-c0_g3_i4	TR48469-c0_g3_i1	TR36005-c0_g2_i1
o1022	TR47848-c0_g2_i1	TR24282-c0_g1_i2	TR13580-c0_g2_i1
o1023	TR47848-c0_g3_i1	TR24282-c0_g2_i1	TR13580-c0_g1_i1
o1024	Matched_to_other_by_FastOrtho	TR36226-c0_g1_i1	TR35842-c0_g1_i1
o1025	TR4935-c0_g3_i1	TR35564-c0_g1_i1	TR35844-c0_g4_i1
o1026	Matched_to_other_by_FastOrtho	TR50370-c0_g2_i1	TR35816-c1_g1_i1
o1027	TR58283-c0_g1_i1	TR20642-c0_g5_i1	TR35817-c0_g1_i1
o1028	TR25441-c0_g2_i1	TR49671-c0_g1_i2	TR35808-c3_g1_i1
o1029	TR7300-c0_g1_i1	TR14344-c0_g1_i5	TR13479-c0_g1_i1
o1030	TR52238-c0_g5_i2	TR13020-c0_g2_i1	TR13469-c1_g2_i1
o1031	TR25387-c0_g1_i1	TR26881-c2_g3_i2	TR13510-c1_g2_i1
o1032	Matched_to_other_by_FastOrtho	TR18146-c0_g3_i3	TR13481-c0_g2_i2
o1033	TR28654-c0_g4_i1	TR9579-c0_g1_i2	TR13551-c0_g6_i1
o1034	Matched_to_other_by_FastOrtho	TR10193-c0_g1_i1	TR13534-c0_g1_i1
o1035	TR31713-c0_g14_i1	TR3552-c0_g5_i1	TR13558-c0_g8_i3
o1036	TR34618-c0_g3_i4	TR30410-c0_g2_i3	TR13556-c0_g1_i1
o1037	TR19168-c0_g8_i1	TR34643-c0_g1_i1	TR37162-c2_g5_i1
o1038	TR26523-c0_g1_i1	TR23345-c2_g2_i2	TR9165-c0_g1_i1
o1039	TR6780-c0_g1_i2	TR20831-c0_g2_i1	TR3509-c0_g1_i3
o1040	TR40162-c1_g1_i1	TR43303-c0_g1_i1	TR34461-c0_g13_i2
o1041	TR41311-c0_g5_i1	TR19247-c0_g3_i1	TR38025-c0_g4_i1
o1042	TR51319-c0_g2_i1	TR22655-c1_g3_i1	TR37860-c1_g3_i1
o1043	TR52197-c0_g1_i2	TR18949-c2_g1_i1	TR43753-c2_g1_i1
o1044	TR46450-c0_g2_i1	TR51376-c0_g2_i1	TR43743-c0_g2_i1
o1045	TR47521-c0_g3_i1	TR36352-c0_g1_i1	TR43059-c1_g2_i1
o1046	TR33171-c2_g1_i1	TR16444-c0_g1_i2	TR43049-c3_g4_i1
o1047	TR33171-c1_g3_i1	TR16444-c0_g2_i3	TR43049-c2_g2_i1
o1048	TR33171-c1_g4_i1	TR16444-c0_g3_i1	TR43049-c1_g1_i1
o1049	TR10363-c0_g8_i1	TR29652-c0_g2_i2	TR43048-c0_g6_i2
o1050	TR44087-c1_g11_i2	TR42459-c1_g6_i1	TR43038-c1_g1_i1
o1051	TR11981-c0_g1_i1	TR37856-c0_g2_i1	TR43035-c0_g2_i1
o1052	TR45408-c0_g1_i1	TR19933-c1_g6_i1	TR43021-c0_g2_i3
o1053	TR4265-c0_g1_i2	TR19933-c1_g5_i2	TR43021-c0_g1_i2
o1054	TR4265-c0_g1_i1	TR18821-c0_g1_i1	TR43021-c0_g1_i1
o1055	TR13390-c2_g2_i1	TR9835-c0_g2_i4	TR45953-c1_g1_i1
o1056	TR25609-c1_g2_i2	TR33083-c0_g1_i1	TR45963-c0_g4_i2
o1057	TR9096-c5_g3_i2	TR4920-c2_g1_i2	TR45955-c2_g1_i1
o1058	TR24286-c0_g2_i1	TR13046-c0_g1_i1	TR4591-c1_g1_i1
o1059	TR34850-c0_g1_i1	TR37982-c0_g2_i1	Matched_to_other_by_FastOrtho
o1060	TR59601-c0_g2_i1	TR35511-c0_g1_i1	Matched_to_other_by_FastOrtho
o1061	TR48073-c1_g2_i1	TR11779-c0_g1_i1	TR29512-c2_g1_i1
o1062	TR40156-c0_g1_i1	Matched_to_other_by_FastOrtho	TR7191-c0_g2_i1
o1063	TR2313-c0_g1_i1	TR618-c0_g1_i1	TR9954-c0_g1_i1
o1064	TR24812-c0_g14_i1	TR7072-c1_g1_i1	TR46-c1_g6_i1
o1065	TR22437-c1_g7_i1	TR6654-c0_g8_i1	TR29556-c0_g5_i1
o1066	TR37742-c2_g14_i4	TR46848-c0_g12_i1	TR8213-c1_g8_i1
o1067	TR12082-c0_g1_i1	TR6985-c0_g1_i1	Matched_to_other_by_FastOrtho
o1068	TR30781-c1_g1_i1	TR10624-c1_g1_i1	TR8207-c0_g1_i1
o1069	TR20108-c1_g4_i1	TR15113-c2_g3_i1	TR8183-c0_g1_i2
o1070	TR1164-c0_g3_i2	TR19973-c0_g4_i1	TR8166-c0_g6_i1
o1071	TR33044-c0_g3_i4	TR50816-c4_g1_i1	TR8163-c0_g7_i1
o1072	TR17859-c0_g1_i1	Matched_to_other_by_FastOrtho	TR816-c0_g2_i1
o1073	TR8557-c0_g1_i3	TR30597-c0_g1_i2	Matched_to_other_by_FastOrtho
o1074	TR28759-c0_g1_i1	TR41908-c0_g1_i1	TR43739-c2_g2_i3
o1075	TR11474-c2_g4_i1	TR12632-c0_g1_i2	TR8223-c0_g1_i1
o1076	TR56536-c1_g1_i1	TR7272-c1_g2_i1	TR29489-c1_g1_i1
o1077	TR732-c1_g1_i1	TR6633-c0_g1_i1	TR17130-c1_g1_i2
o1078	TR28646-c1_g2_i1	TR11230-c2_g1_i1	TR17105-c1_g2_i1
o1079	TR41986-c0_g3_i1	TR46108-c0_g8_i1	TR17157-c0_g1_i1
o1080	TR581-c0_g3_i1	TR12481-c0_g3_i1	TR17131-c0_g5_i1
o1081	TR19473-c0_g2_i1	TR4809-c0_g1_i1	TR17096-c0_g1_i1
o1082	TR36388-c0_g1_i1	Matched_to_other_by_FastOrtho	TR17095-c2_g1_i1
o1083	TR32098-c3_g2_i1	TR12596-c0_g1_i1	TR17102-c0_g2_i1
o1084	TR4434-c1_g3_i1	TR46-c0_g1_i1	TR29493-c0_g1_i2
o1085	TR33767-c1_g11_i1	TR31727-c1_g2_i1	TR17174-c2_g4_i2
o1086	TR1698-c0_g6_i1	TR48069-c0_g2_i2	Matched_to_other_by_FastOrtho
o1087	TR6462-c0_g1_i1	TR27264-c1_g1_i4	TR28558-c0_g11_i1
o1088	TR16630-c0_g2_i1	TR47728-c0_g1_i1	TR12966-c0_g4_i1
o1089	TR23640-c0_g1_i1	TR8730-c1_g1_i1	TR12944-c1_g1_i1
o1090	TR29135-c1_g1_i1	TR27264-c0_g1_i1	TR28558-c0_g6_i1
o1091	TR15127-c3_g9_i1	TR30527-c2_g1_i1	TR12862-c2_g3_i1
o1092	TR51567-c6_g4_i2	TR12781-c0_g2_i3	TR12862-c1_g1_i1
o1093	TR32046-c11_g16_i3	TR32560-c1_g3_i1	TR12852-c1_g1_i3
o1094	TR43176-c1_g1_i3	TR26795-c2_g1_i1	TR12839-c0_g4_i1
o1095	TR52830-c0_g7_i1	TR34721-c0_g1_i1	TR1294-c0_g2_i2
o1096	TR29410-c0_g8_i1	TR31317-c0_g5_i1	TR12927-c2_g3_i2
o1097	Matched_to_other_by_FastOrtho	TR23005-c0_g1_i1	TR12888-c0_g2_i1
o1098	TR14997-c0_g2_i2	TR1099-c0_g1_i1	Matched_to_other_by_FastOrtho
o1099	TR28240-c5_g3_i1	TR11040-c7_g2_i1	TR35407-c2_g1_i1
o1100	TR20838-c0_g1_i1	TR47649-c0_g1_i1	Matched_to_other_by_FastOrtho
o1101	TR36095-c0_g1_i1	TR646-c0_g1_i1	TR2069-c0_g1_i1
o1102	TR56165-c0_g2_i1	TR33341-c0_g2_i1	TR20674-c1_g2_i2
o1103	TR14086-c1_g2_i1	TR9041-c0_g2_i2	TR20672-c0_g1_i1
o1104	TR44109-c0_g2_i1	TR27661-c0_g1_i1	Matched_to_other_by_FastOrtho
o1105	TR53517-c0_g11_i4	Matched_to_other_by_FastOrtho	TR20662-c1_g9_i1
o1106	TR20396-c0_g12_i1	TR37636-c1_g6_i2	TR20645-c3_g1_i2
o1107	TR31241-c0_g1_i1	TR8157-c1_g1_i1	TR20616-c0_g2_i1
o1108	TR46392-c0_g1_i1	TR8074-c0_g1_i1	Matched_to_other_by_FastOrtho
o1109	TR45650-c0_g1_i1	TR1753-c0_g3_i3	TR20604-c0_g3_i1
o1110	TR60200-c1_g11_i1	TR33348-c0_g1_i2	TR39831-c0_g1_i1
o1111	TR7541-c2_g7_i3	TR35726-c10_g11_i1	TR25431-c2_g9_i2
o1112	TR40416-c1_g1_i1	TR39866-c0_g2_i2	TR3984-c0_g3_i1
o1113	TR29170-c0_g2_i3	TR11223-c0_g6_i1	TR28556-c0_g5_i2
o1114	TR36538-c0_g2_i3	TR12005-c1_g3_i1	TR45036-c0_g3_i2
o1115	TR53357-c0_g6_i1	TR46668-c0_g8_i1	TR11280-c0_g1_i2
o1116	TR36173-c0_g1_i1	TR22038-c0_g3_i1	TR11274-c0_g1_i1
o1117	TR54922-c0_g3_i1	TR7241-c0_g1_i1	TR11290-c0_g1_i1
o1118	TR53357-c0_g1_i1	TR36671-c0_g3_i1	TR11280-c0_g2_i1
o1119	TR32753-c0_g1_i1	TR46222-c0_g1_i1	TR11335-c1_g2_i1
o1120	TR50336-c0_g6_i3	TR33278-c0_g1_i8	TR11293-c0_g1_i1
o1121	TR15931-c2_g2_i1	TR29329-c0_g2_i1	TR1136-c1_g3_i2
o1122	TR15931-c0_g2_i1	TR22307-c0_g1_i1	TR1136-c1_g1_i1
o1123	TR6109-c1_g1_i1	TR41469-c0_g1_i1	TR11374-c1_g1_i1
o1124	TR11674-c1_g1_i1	Matched_to_other_by_FastOrtho	TR11367-c0_g2_i1
o1125	TR56314-c0_g5_i1	TR34014-c0_g2_i1	TR6096-c2_g1_i1
o1126	TR41024-c0_g2_i1	TR28951-c1_g7_i1	Matched_to_other_by_FastOrtho
o1127	Matched_to_other_by_FastOrtho	TR44275-c1_g1_i3	TR18765-c0_g2_i1
o1128	TR57998-c0_g2_i1	Matched_to_other_by_FastOrtho	TR18744-c2_g1_i1
o1129	TR57998-c0_g1_i1	TR24057-c1_g1_i2	TR18744-c0_g1_i1
o1130	TR51784-c0_g1_i1	TR25886-c0_g1_i1	Matched_to_other_by_FastOrtho
o1131	Matched_to_other_by_FastOrtho	TR13351-c0_g3_i1	TR18790-c1_g9_i1
o1132	TR4441-c1_g1_i1	TR13351-c0_g2_i3	TR18790-c1_g5_i1
o1133	TR35192-c0_g2_i1	TR14691-c0_g1_i1	Matched_to_other_by_FastOrtho
o1134	TR16839-c2_g6_i1	TR29075-c0_g1_i1	TR35859-c0_g2_i2
o1135	TR10787-c0_g1_i1	TR45040-c0_g1_i1	TR18802-c0_g1_i1
o1136	TR21016-c5_g4_i4	TR21813-c0_g6_i8	TR18797-c0_g7_i1
o1137	TR48842-c1_g4_i1	TR38343-c0_g7_i2	TR2782-c0_g2_i1
o1138	TR1511-c0_g3_i3	TR17252-c0_g2_i1	TR5842-c1_g1_i1
o1139	TR22210-c0_g1_i1	TR28347-c3_g5_i1	TR27724-c5_g7_i3
o1140	TR22210-c0_g8_i1	TR28347-c3_g4_i1	TR27724-c5_g1_i1
o1141	TR25999-c0_g2_i1	TR9867-c0_g1_i1	TR27743-c0_g1_i1
o1142	TR50262-c6_g1_i1	TR24473-c1_g1_i1	TR27741-c1_g1_i1
o1143	TR61460-c2_g1_i3	TR5061-c1_g2_i1	TR27766-c3_g1_i3
o1144	TR36301-c1_g1_i1	TR34796-c0_g1_i1	TR27748-c0_g3_i1
o1145	TR11474-c2_g5_i4	TR39703-c0_g6_i2	TR27793-c1_g3_i1
o1146	TR60633-c1_g1_i1	Matched_to_other_by_FastOrtho	TR27774-c0_g1_i1
o1147	TR24517-c2_g3_i3	TR6800-c0_g2_i1	TR202-c0_g2_i1
o1148	TR19514-c0_g6_i3	TR48526-c0_g2_i2	Matched_to_other_by_FastOrtho
o1149	TR57081-c0_g1_i1	TR28985-c0_g2_i2	TR9202-c0_g1_i2
o1150	TR32450-c0_g2_i1	TR34853-c0_g1_i1	TR9059-c0_g1_i1
o1151	TR21474-c0_g1_i1	Matched_to_other_by_FastOrtho	TR20132-c0_g1_i3
o1152	TR59269-c0_g5_i4	Matched_to_other_by_FastOrtho	TR20116-c1_g2_i1
o1153	TR1699-c1_g2_i3	TR38415-c0_g5_i2	TR20099-c0_g2_i1
o1154	TR42713-c0_g3_i1	TR9291-c0_g3_i2	TR20096-c0_g3_i3
o1155	TR42650-c1_g2_i1	TR48526-c0_g3_i1	Matched_to_other_by_FastOrtho
o1156	TR52876-c2_g1_i1	TR33635-c0_g1_i1	Matched_to_other_by_FastOrtho
o1157	TR28236-c0_g1_i1	TR27232-c0_g1_i1	TR20140-c0_g2_i1
o1158	TR56454-c2_g1_i1	TR44445-c0_g1_i3	Matched_to_other_by_FastOrtho
o1159	TR33792-c2_g7_i1	TR24719-c0_g2_i1	TR5845-c0_g1_i1
o1160	TR39836-c0_g1_i1	TR43380-c0_g1_i1	TR29383-c0_g1_i1
o1161	Matched_to_other_by_FastOrtho	TR971-c1_g2_i1	TR5863-c0_g2_i1
o1162	TR59494-c2_g1_i1	TR10008-c0_g1_i1	TR19994-c0_g2_i1
o1163	TR58208-c0_g7_i1	TR10449-c0_g3_i1	TR16148-c0_g2_i1
o1164	TR42981-c0_g2_i1	TR29095-c0_g3_i1	TR16144-c0_g2_i1
o1165	TR28693-c2_g8_i1	Matched_to_other_by_FastOrtho	TR16117-c0_g10_i2
o1166	TR54228-c0_g2_i1	TR8145-c4_g1_i1	TR16109-c0_g1_i1
o1167	TR18355-c3_g1_i4	TR28790-c0_g1_i1	TR16125-c2_g6_i1
o1168	TR31433-c1_g1_i1	TR13381-c0_g2_i1	TR1605-c1_g1_i1
o1169	TR11343-c0_g2_i1	TR12115-c0_g1_i1	TR1602-c2_g1_i1
o1170	TR55563-c0_g1_i1	TR40100-c0_g1_i1	TR161-c0_g2_i1
o1171	TR51347-c0_g1_i1	TR34208-c1_g3_i1	TR16098-c1_g1_i1
o1172	TR60865-c0_g8_i1	TR1544-c2_g14_i1	TR21872-c0_g1_i1
o1173	TR46157-c1_g7_i1	TR32501-c0_g1_i1	TR21863-c3_g1_i1
o1174	TR17042-c0_g3_i1	TR23770-c0_g2_i2	TR21849-c1_g2_i1
o1175	TR32655-c0_g3_i1	TR25099-c1_g1_i1	TR21782-c0_g5_i1
o1176	TR2940-c0_g1_i1	TR17624-c0_g1_i1	TR21768-c0_g1_i1
o1177	TR13451-c0_g3_i1	TR47336-c3_g1_i4	TR21759-c0_g5_i2
o1178	TR29176-c0_g8_i1	TR35329-c0_g1_i1	TR21754-c0_g11_i3
o1179	Matched_to_other_by_FastOrtho	TR40003-c0_g1_i1	TR21894-c0_g2_i1
o1180	TR13410-c1_g1_i1	TR25658-c0_g1_i2	TR21882-c0_g1_i1
o1181	TR60611-c1_g1_i1	TR8740-c0_g2_i1	Matched_to_other_by_FastOrtho
o1182	TR35875-c1_g1_i1	TR28425-c0_g2_i1	TR7181-c0_g5_i1
o1183	Matched_to_other_by_FastOrtho	TR1284-c0_g5_i1	TR35032-c0_g3_i1
o1184	TR34601-c0_g2_i1	TR2881-c0_g1_i1	TR7731-c1_g2_i1
o1185	TR30358-c0_g1_i1	Matched_to_other_by_FastOrtho	TR33024-c0_g2_i1
o1186	TR6296-c0_g1_i1	TR27542-c0_g1_i1	TR5582-c0_g1_i1
o1187	TR18528-c1_g4_i6	TR45312-c0_g2_i1	TR24344-c0_g1_i3
o1188	TR40370-c0_g1_i1	TR3677-c0_g1_i1	TR24328-c1_g1_i1
o1189	Matched_to_other_by_FastOrtho	TR37400-c0_g4_i1	TR24280-c0_g4_i1
o1190	TR20227-c0_g1_i1	TR48946-c0_g1_i1	TR24309-c0_g1_i1
o1191	TR58698-c1_g1_i2	TR32406-c0_g2_i2	TR24288-c0_g1_i1
o1192	TR59977-c0_g2_i1	TR23729-c0_g1_i1	TR24263-c0_g1_i1
o1193	TR29428-c0_g2_i3	TR20303-c0_g1_i2	TR24221-c0_g2_i1
o1194	TR29700-c1_g1_i1	TR6733-c1_g1_i1	Matched_to_other_by_FastOrtho
o1195	TR29700-c0_g1_i1	TR6524-c0_g1_i1	TR24270-c0_g1_i1
o1196	TR16942-c0_g1_i2	TR12889-c0_g1_i1	TR26074-c0_g1_i2
o1197	TR55458-c0_g5_i1	TR17632-c0_g1_i1	TR26062-c0_g5_i1
o1198	TR9494-c0_g1_i1	TR19054-c0_g2_i1	TR26054-c2_g1_i1
o1199	TR8295-c0_g1_i1	TR19054-c2_g2_i1	TR26054-c0_g2_i1
o1200	TR47287-c4_g4_i3	TR27547-c5_g1_i1	TR26117-c9_g2_i1
o1201	TR50454-c3_g1_i1	Matched_to_other_by_FastOrtho	TR26117-c7_g1_i1
o1202	TR21643-c0_g2_i1	TR16200-c0_g3_i1	TR26117-c5_g1_i1
o1203	TR1220-c1_g1_i1	TR30434-c0_g1_i1	TR26117-c3_g1_i1
o1204	TR21444-c0_g1_i1	TR39023-c0_g2_i1	TR26121-c0_g2_i2
o1205	TR1338-c1_g6_i2	TR42931-c1_g6_i1	TR28764-c2_g3_i1
o1206	TR4152-c1_g1_i1	TR32569-c0_g1_i1	TR5575-c0_g1_i1
o1207	TR60654-c2_g1_i1	Matched_to_other_by_FastOrtho	TR5572-c0_g2_i2
o1208	TR1338-c1_g11_i1	TR42931-c1_g7_i1	TR28764-c3_g2_i1
o1209	TR28612-c0_g3_i1	TR26920-c0_g1_i1	TR7201-c0_g5_i2
o1210	TR29869-c0_g1_i2	TR21470-c0_g2_i2	TR7717-c0_g1_i1
o1211	TR18098-c2_g1_i1	TR9934-c0_g2_i2	TR32819-c4_g1_i2
o1212	TR1338-c1_g4_i1	TR42931-c1_g2_i1	TR28764-c3_g4_i1
o1213	TR28650-c0_g1_i3	TR24808-c0_g11_i1	TR16208-c0_g3_i1
o1214	Matched_to_other_by_FastOrtho	TR28385-c0_g2_i1	TR36983-c0_g1_i1
o1215	TR50091-c0_g2_i1	TR35805-c0_g3_i2	TR8595-c0_g6_i1
o1216	TR57609-c0_g1_i1	TR37817-c0_g1_i1	TR28801-c0_g1_i1
o1217	TR11964-c0_g5_i3	TR30775-c0_g1_i1	TR43653-c2_g1_i1
o1218	Matched_to_other_by_FastOrtho	TR44220-c0_g1_i1	TR2882-c0_g1_i1
o1219	TR25799-c0_g2_i3	TR34438-c0_g2_i1	TR28864-c1_g2_i1
o1220	TR37783-c0_g1_i1	TR39565-c0_g1_i2	Matched_to_other_by_FastOrtho
o1221	TR41249-c3_g1_i1	TR48980-c0_g1_i2	TR45859-c0_g2_i1
o1222	TR39905-c0_g2_i1	TR15244-c0_g1_i1	TR28919-c2_g1_i1
o1223	TR5808-c2_g1_i1	TR6876-c0_g1_i1	TR38516-c1_g1_i1
o1224	TR6546-c1_g7_i1	TR43544-c0_g2_i1	TR16856-c0_g2_i1
o1225	TR10374-c3_g3_i3	Matched_to_other_by_FastOrtho	TR16843-c2_g1_i2
o1226	TR9928-c0_g1_i1	Matched_to_other_by_FastOrtho	TR16874-c0_g1_i1
o1227	TR1848-c0_g2_i1	TR50148-c0_g1_i1	TR8574-c0_g1_i1
o1228	TR14316-c0_g2_i1	TR22275-c0_g1_i1	TR32968-c1_g2_i1
o1229	TR21421-c1_g1_i1	TR14773-c0_g2_i1	Matched_to_other_by_FastOrtho
o1230	TR45414-c0_g3_i1	TR10087-c0_g3_i3	TR12438-c0_g1_i1
o1231	TR55228-c0_g2_i1	Matched_to_other_by_FastOrtho	TR4780-c1_g1_i1
o1232	TR5696-c0_g5_i2	TR17124-c0_g1_i1	TR28263-c0_g2_i1
o1233	TR49214-c0_g1_i1	TR621-c1_g1_i1	TR32865-c0_g3_i1
o1234	TR54347-c0_g1_i1	TR22101-c0_g1_i2	TR16883-c0_g1_i1
o1235	TR33792-c1_g1_i2	TR38765-c2_g5_i1	TR32882-c2_g1_i1
o1236	Matched_to_other_by_FastOrtho	TR20837-c0_g1_i1	TR32877-c0_g2_i1
o1237	TR43311-c0_g1_i2	TR13773-c0_g4_i2	TR329-c0_g2_i1
o1238	TR32123-c3_g5_i1	TR40047-c1_g2_i4	TR32895-c1_g1_i2
o1239	TR22966-c0_g1_i1	Matched_to_other_by_FastOrtho	TR32941-c0_g2_i1
o1240	TR43262-c0_g2_i1	TR28627-c1_g1_i1	Matched_to_other_by_FastOrtho
o1241	TR15114-c0_g1_i1	TR29510-c0_g2_i1	TR10550-c1_g1_i1
o1242	TR52504-c0_g2_i1	TR37626-c0_g1_i1	TR16900-c0_g1_i1
o1243	TR2220-c0_g4_i1	TR21895-c0_g3_i1	TR10523-c0_g4_i3
o1244	TR26645-c0_g3_i1	TR15613-c0_g1_i1	Matched_to_other_by_FastOrtho
o1245	TR61094-c0_g2_i1	TR34292-c0_g1_i1	TR10513-c0_g4_i1
o1246	TR32802-c0_g1_i1	TR5618-c0_g2_i1	TR16886-c0_g1_i1
o1247	TR48036-c0_g5_i1	TR51006-c0_g1_i1	TR1055-c3_g7_i2
o1248	TR41182-c1_g1_i1	TR16453-c2_g1_i1	Matched_to_other_by_FastOrtho
o1249	TR61555-c3_g2_i2	TR48967-c0_g1_i1	TR10543-c0_g1_i3
o1250	TR37571-c0_g8_i1	TR22230-c0_g5_i3	Matched_to_other_by_FastOrtho
o1251	TR43467-c0_g1_i1	TR50454-c0_g1_i1	Matched_to_other_by_FastOrtho
o1252	TR33670-c0_g1_i1	TR11372-c0_g1_i1	Matched_to_other_by_FastOrtho
o1253	TR45398-c1_g1_i1	TR7347-c0_g2_i1	TR33551-c0_g1_i3
o1254	TR551-c0_g1_i3	TR15190-c0_g1_i2	TR3355-c2_g4_i2
o1255	TR551-c0_g1_i2	TR15190-c0_g1_i1	TR3355-c2_g2_i1
o1256	TR24938-c0_g2_i1	TR9886-c0_g2_i1	TR33539-c0_g1_i1
o1257	Matched_to_other_by_FastOrtho	TR34905-c0_g1_i1	TR33537-c0_g1_i1
o1258	TR21612-c4_g1_i2	TR19357-c1_g1_i3	TR33518-c0_g2_i1
o1259	TR16102-c0_g11_i1	TR12660-c0_g1_i1	TR33493-c0_g1_i2
o1260	TR417-c0_g1_i1	TR46185-c0_g1_i1	TR33485-c0_g1_i1
o1261	TR9589-c0_g4_i1	TR11203-c0_g1_i1	Matched_to_other_by_FastOrtho
o1262	TR32038-c0_g3_i2	TR2241-c0_g1_i1	TR35019-c1_g3_i4
o1263	TR46107-c0_g2_i1	TR51166-c0_g1_i1	TR38749-c3_g2_i2
o1264	TR45277-c0_g3_i2	TR30108-c0_g2_i2	TR38724-c2_g1_i1
o1265	TR40211-c2_g1_i1	TR19738-c1_g6_i1	TR38775-c3_g2_i1
o1266	TR36443-c0_g3_i3	TR24775-c0_g1_i1	TR38753-c1_g6_i2
o1267	TR60369-c0_g2_i2	TR27993-c0_g1_i1	TR38795-c0_g1_i1
o1268	TR2151-c0_g1_i1	TR36180-c0_g2_i1	TR38781-c0_g1_i1
o1269	TR54144-c0_g1_i2	TR50069-c0_g1_i1	TR38807-c0_g1_i1
o1270	TR39670-c0_g2_i1	TR40895-c0_g1_i1	TR38805-c1_g1_i1
o1271	TR42405-c0_g1_i1	TR12065-c0_g3_i2	Matched_to_other_by_FastOrtho
o1272	TR6056-c4_g1_i7	TR20550-c0_g2_i1	TR38813-c0_g1_i1
o1273	TR51504-c0_g1_i1	TR18997-c0_g1_i1	TR44374-c1_g1_i1
o1274	TR23129-c3_g4_i1	TR7706-c0_g1_i1	TR47612-c0_g1_i1
o1275	TR10194-c0_g4_i2	TR34667-c0_g2_i2	TR35015-c0_g4_i1
o1276	TR17893-c1_g2_i1	Matched_to_other_by_FastOrtho	TR44481-c1_g3_i1
o1277	TR10584-c2_g5_i1	TR40967-c0_g1_i1	TR44485-c0_g2_i2
o1278	TR59246-c11_g2_i1	TR8080-c1_g1_i1	TR44469-c0_g1_i1
o1279	TR55359-c0_g1_i1	TR24948-c0_g3_i1	TR44472-c0_g1_i1
o1280	TR59598-c1_g3_i1	TR7215-c0_g1_i2	TR44527-c1_g3_i1
o1281	TR4213-c0_g1_i2	TR14230-c0_g1_i1	TR44529-c0_g5_i1
o1282	TR22694-c4_g8_i4	TR12359-c2_g2_i1	TR44485-c2_g8_i3
o1283	TR2563-c0_g1_i1	TR19363-c0_g1_i2	TR44515-c0_g1_i1
o1284	TR46489-c0_g8_i1	TR37188-c0_g1_i2	TR43863-c1_g1_i1
o1285	TR34509-c0_g2_i1	TR33574-c0_g1_i1	TR34536-c1_g2_i1
o1286	TR17752-c1_g1_i1	Matched_to_other_by_FastOrtho	TR5312-c1_g3_i1
o1287	TR51912-c0_g1_i1	TR5580-c0_g2_i2	TR36257-c0_g1_i1
o1288	TR23408-c0_g5_i1	TR40964-c0_g1_i1	TR36248-c0_g10_i1
o1289	TR18841-c0_g1_i1	TR17066-c0_g1_i1	TR33584-c0_g1_i1
o1290	TR31811-c1_g6_i2	TR10930-c0_g2_i1	TR36280-c1_g2_i3
o1291	TR28705-c0_g5_i2	TR837-c4_g4_i1	TR36278-c2_g4_i1
o1292	TR34770-c1_g4_i1	TR7203-c1_g2_i1	Matched_to_other_by_FastOrtho
o1293	TR55609-c4_g2_i2	TR21806-c0_g4_i1	TR36269-c1_g6_i1
o1294	TR38618-c3_g2_i1	TR17601-c0_g1_i1	TR46662-c0_g1_i1
o1295	TR9498-c2_g2_i1	TR22415-c0_g2_i1	TR36286-c0_g1_i1
o1296	TR21191-c0_g1_i1	TR12818-c1_g1_i2	TR36281-c0_g1_i1
