carb	flav	macro
NA	TR1439-c0_g1_i1	TR18856-c1_g1_i1
TR12342-c1_g4_i1	TR7726-c0_g2_i1	TR18858-c0_g5_i1
TR20052-c0_g1_i1	TR33524-c1_g1_i1	TR18886-c1_g2_i1
TR16455-c0_g2_i1	TR49104-c0_g1_i1	TR18897-c0_g1_i1
TR38837-c0_g8_i3	TR31040-c0_g13_i1	TR18902-c0_g1_i1
TR51919-c0_g1_i1	TR14667-c1_g1_i1	TR18905-c5_g1_i1
TR15053-c4_g2_i2	TR14024-c0_g1_i3	TR18911-c0_g2_i2
TR59470-c0_g8_i1	TR22362-c0_g1_i1	TR1892-c1_g5_i1
TR34516-c4_g4_i1	TR29115-c0_g1_i1	TR18931-c0_g1_i1
TR35951-c1_g1_i4	NA	TR18941-c1_g5_i2
TR35951-c1_g1_i2	TR49022-c0_g1_i3	TR18941-c1_g6_i1
TR42652-c0_g2_i1	TR883-c0_g1_i1	TR1897-c0_g1_i1
TR18302-c0_g4_i1	TR34520-c0_g1_i1	TR18970-c0_g1_i1
TR21398-c0_g2_i1	TR17253-c1_g1_i1	TR18976-c0_g1_i1
TR47686-c2_g1_i1	TR29654-c0_g2_i1	TR18981-c0_g1_i1
TR37725-c2_g1_i2	TR50823-c0_g1_i1	TR1899-c0_g4_i1
TR32641-c0_g1_i1	TR42794-c0_g1_i1	TR19031-c0_g1_i1
TR59472-c0_g1_i1	TR50278-c0_g1_i1	TR19033-c1_g1_i1
TR42403-c0_g1_i1	TR34801-c0_g1_i1	TR19049-c0_g1_i1
TR40-c0_g9_i1	TR23661-c0_g3_i1	TR19061-c2_g3_i1
TR45769-c0_g6_i1	TR49324-c0_g1_i1	TR19065-c1_g1_i1
NA	TR49324-c0_g1_i3	TR19065-c1_g1_i2
TR14958-c1_g1_i1	TR19280-c1_g1_i1	TR19065-c2_g1_i2
TR13562-c0_g13_i1	TR11846-c0_g3_i2	TR19092-c0_g1_i1
TR27016-c5_g9_i1	TR41903-c0_g8_i3	TR19093-c1_g2_i1
TR49458-c4_g6_i1	TR36557-c5_g12_i5	TR19093-c2_g14_i1
TR37790-c0_g1_i1	TR16234-c1_g1_i1	TR19132-c0_g1_i1
TR24227-c0_g1_i1	TR25461-c0_g4_i1	TR19149-c0_g2_i1
TR24227-c0_g2_i2	TR25461-c0_g1_i1	TR19149-c0_g3_i2
TR41295-c0_g2_i1	TR33329-c0_g1_i1	TR1915-c0_g1_i1
TR59795-c1_g3_i1	TR50954-c0_g1_i1	TR19153-c0_g1_i1
TR37417-c0_g2_i3	TR2477-c0_g1_i2	TR19165-c4_g1_i1
TR15239-c0_g2_i1	TR13560-c0_g1_i1	TR19189-c0_g2_i1
TR58437-c0_g1_i1	TR25800-c0_g2_i1	TR19200-c1_g3_i1
TR54245-c4_g3_i1	TR39636-c0_g1_i1	TR19217-c0_g1_i1
TR55342-c0_g1_i2	TR5155-c0_g1_i1	TR19230-c0_g1_i1
TR25693-c0_g1_i1	TR42658-c0_g1_i1	TR19233-c1_g1_i1
TR20547-c1_g1_i1	TR51107-c0_g1_i1	TR19235-c1_g1_i2
TR61416-c0_g2_i1	TR19283-c0_g2_i1	TR19237-c1_g1_i2
TR45445-c0_g1_i1	TR17013-c0_g6_i1	TR19239-c0_g1_i1
TR45445-c0_g2_i1	TR17013-c0_g1_i1	TR19239-c0_g3_i1
TR59481-c3_g1_i1	TR11843-c1_g3_i1	TR1924-c0_g2_i1
TR61501-c0_g4_i1	TR32420-c0_g1_i1	TR19258-c0_g1_i3
TR55044-c0_g8_i2	TR30686-c0_g2_i1	TR19262-c0_g6_i2
TR51249-c0_g2_i2	TR3398-c0_g1_i1	TR19276-c0_g2_i1
TR55251-c0_g4_i1	TR47757-c1_g5_i4	TR19288-c0_g1_i1
TR41091-c0_g1_i1	TR22585-c0_g2_i1	TR19289-c0_g2_i1
NA	TR10186-c0_g1_i1	TR19294-c2_g1_i1
TR22826-c4_g7_i1	TR23116-c0_g1_i1	TR19323-c2_g1_i1
TR36451-c0_g2_i1	TR8038-c0_g2_i1	TR19326-c0_g1_i1
TR20262-c0_g1_i2	TR38777-c0_g1_i1	TR19328-c1_g1_i1
TR27273-c0_g2_i1	TR11917-c0_g1_i1	TR19333-c0_g1_i1
TR12324-c0_g2_i1	TR17755-c1_g1_i1	TR19338-c0_g2_i1
TR951-c5_g5_i1	TR14758-c0_g1_i2	TR19350-c1_g1_i4
TR39702-c0_g1_i1	TR35674-c5_g1_i2	TR19354-c3_g1_i3
TR38822-c0_g2_i1	TR13299-c1_g1_i1	TR19354-c3_g2_i5
TR48185-c0_g2_i1	TR42599-c0_g1_i1	TR19355-c0_g1_i1
TR44095-c0_g4_i1	TR25298-c0_g1_i1	TR19405-c0_g2_i1
TR43350-c0_g3_i1	TR18091-c0_g2_i1	TR1941-c1_g1_i1
TR13241-c1_g6_i1	TR24529-c0_g1_i1	TR19416-c0_g3_i1
TR13241-c1_g12_i1	TR31638-c0_g1_i1	TR19416-c0_g5_i1
TR38103-c0_g1_i1	TR8709-c0_g1_i1	NA
TR3552-c1_g7_i4	TR4002-c2_g4_i1	TR19480-c0_g1_i2
TR3552-c2_g2_i1	TR4002-c0_g3_i1	TR19480-c1_g2_i1
TR23548-c0_g3_i1	TR27960-c1_g1_i1	TR1950-c0_g4_i1
TR6082-c1_g1_i2	TR39033-c0_g3_i1	TR19506-c0_g2_i2
TR41539-c0_g2_i1	TR27333-c0_g1_i1	TR1955-c0_g1_i1
TR31881-c0_g2_i1	TR30105-c0_g1_i1	TR19555-c0_g3_i1
TR19125-c6_g1_i1	TR44782-c1_g2_i2	TR19558-c0_g4_i1
TR39566-c0_g1_i1	TR7001-c0_g1_i2	TR19561-c0_g1_i1
TR38916-c0_g3_i1	TR37783-c0_g1_i1	TR19561-c1_g1_i1
TR7231-c0_g7_i1	TR10327-c0_g7_i2	TR19566-c1_g3_i2
TR30215-c0_g3_i1	TR15306-c0_g2_i1	TR1957-c0_g1_i1
TR39028-c0_g3_i1	TR4158-c0_g3_i2	TR19625-c0_g1_i1
TR1445-c0_g1_i1	TR29979-c0_g1_i1	TR19638-c0_g1_i1
TR31378-c0_g1_i1	TR26541-c0_g1_i1	TR19645-c0_g1_i1
TR34630-c0_g1_i2	TR8906-c0_g7_i1	TR19649-c0_g2_i2
TR26646-c0_g1_i1	TR24207-c1_g1_i1	TR19653-c0_g1_i1
TR23369-c1_g1_i1	TR25304-c0_g1_i1	TR1966-c0_g1_i1
TR60515-c1_g1_i2	TR795-c0_g3_i3	TR19670-c1_g2_i1
TR60515-c1_g1_i1	TR795-c0_g3_i2	TR19670-c1_g3_i1
TR8365-c5_g5_i2	TR27880-c0_g1_i1	TR19679-c0_g1_i1
TR61395-c0_g2_i1	TR272-c1_g1_i1	TR19683-c0_g1_i1
TR58251-c1_g2_i4	TR23992-c0_g10_i5	TR19689-c5_g4_i3
TR3375-c0_g4_i1	TR596-c0_g4_i4	TR19692-c0_g2_i4
TR55434-c1_g3_i1	TR16487-c0_g2_i1	TR19701-c1_g2_i1
TR54285-c3_g6_i2	TR47561-c1_g7_i1	TR19706-c0_g2_i1
TR54285-c3_g4_i2	TR47561-c1_g9_i1	TR19706-c0_g4_i1
TR31463-c0_g1_i1	TR3751-c0_g2_i2	TR19718-c0_g3_i1
TR50427-c1_g3_i1	TR51012-c1_g3_i3	TR19730-c2_g1_i1
TR41314-c2_g2_i1	TR34928-c1_g1_i1	TR19756-c0_g1_i1
TR54740-c0_g2_i2	TR28656-c0_g4_i1	TR1977-c2_g1_i1
TR54112-c0_g3_i1	TR45788-c1_g4_i1	TR19776-c0_g1_i1
TR54112-c0_g2_i1	TR11851-c1_g2_i2	TR19776-c1_g2_i1
TR16842-c0_g5_i1	TR22278-c0_g1_i1	TR19777-c1_g3_i1
TR45136-c2_g1_i1	NA	TR19790-c0_g1_i1
TR28324-c0_g1_i3	TR23791-c0_g3_i1	TR19791-c0_g1_i1
TR59489-c1_g1_i3	TR33945-c0_g1_i1	TR19795-c0_g4_i1
TR53867-c0_g1_i1	TR14952-c0_g2_i1	TR198-c0_g1_i1
TR31114-c5_g6_i3	TR33852-c0_g2_i1	TR1980-c1_g3_i1
TR56199-c0_g2_i2	TR710-c0_g6_i1	TR19803-c1_g4_i2
TR16025-c0_g1_i2	TR8989-c0_g1_i1	TR19807-c2_g2_i1
TR16025-c2_g15_i1	TR33824-c2_g1_i2	TR19807-c3_g5_i4
TR16025-c2_g14_i1	TR33824-c2_g2_i1	TR19807-c3_g5_i6
TR22492-c5_g4_i2	TR29899-c0_g5_i1	TR19808-c0_g1_i2
TR55690-c0_g1_i1	TR17850-c1_g1_i1	TR19814-c1_g1_i3
TR60497-c0_g2_i1	TR22519-c0_g2_i1	TR19816-c0_g1_i2
TR37721-c0_g1_i3	TR13619-c0_g2_i1	TR19820-c0_g2_i1
TR5799-c0_g1_i1	TR9347-c0_g1_i1	TR19827-c0_g1_i1
TR59944-c0_g2_i1	TR38012-c0_g1_i2	TR19836-c0_g2_i1
TR4504-c2_g7_i1	TR13952-c3_g4_i1	TR19852-c4_g2_i1
TR47051-c0_g1_i1	TR3290-c1_g3_i1	TR19854-c0_g1_i1
TR3624-c0_g1_i1	TR11378-c0_g1_i1	TR1986-c0_g1_i1
TR13760-c9_g1_i1	TR21063-c0_g9_i1	TR1987-c1_g2_i1
TR48543-c0_g2_i1	TR23131-c0_g1_i1	TR19876-c0_g1_i1
TR11059-c3_g4_i2	TR36438-c0_g3_i1	TR19878-c0_g1_i1
TR391-c1_g1_i1	TR5413-c1_g1_i1	TR19880-c0_g7_i1
TR58944-c0_g1_i1	TR32287-c0_g2_i1	TR19880-c0_g9_i1
NA	TR51163-c0_g2_i1	TR19883-c0_g1_i1
TR28753-c0_g1_i1	TR17582-c0_g1_i1	TR19920-c0_g1_i1
TR1807-c0_g2_i1	TR38389-c5_g1_i2	TR19931-c5_g1_i1
TR729-c0_g1_i3	TR23377-c0_g1_i1	TR19931-c6_g1_i3
TR50715-c1_g2_i1	TR10700-c0_g1_i1	TR19931-c8_g3_i2
TR45121-c0_g3_i1	TR10758-c1_g1_i1	TR19941-c0_g1_i1
TR30685-c1_g2_i1	TR19640-c0_g1_i1	TR19948-c2_g13_i1
TR3282-c0_g1_i1	TR33634-c1_g1_i1	TR19951-c0_g1_i1
TR36297-c0_g1_i1	TR20922-c0_g1_i1	TR19952-c0_g1_i1
TR52523-c5_g14_i3	TR26374-c0_g1_i2	TR19954-c4_g3_i1
TR24517-c0_g2_i1	TR16045-c0_g2_i1	TR19955-c0_g1_i1
TR19827-c0_g1_i1	TR28707-c0_g1_i1	TR19966-c0_g1_i1
TR17572-c3_g1_i2	TR18761-c0_g5_i1	TR19993-c0_g2_i1
TR59494-c2_g1_i1	TR10008-c0_g1_i1	TR19994-c0_g2_i1
TR39208-c0_g2_i1	TR31528-c0_g1_i2	TR20015-c0_g1_i1
TR39208-c0_g1_i1	TR31528-c0_g1_i1	TR20015-c0_g1_i2
TR58605-c0_g3_i3	TR276-c0_g2_i1	TR20020-c1_g1_i2
TR50891-c16_g5_i1	TR32322-c0_g1_i1	TR2007-c1_g1_i1
TR57763-c0_g10_i1	TR38065-c0_g1_i1	TR20078-c1_g2_i1
TR36344-c0_g6_i2	TR10060-c0_g1_i1	TR20095-c0_g7_i1
TR42713-c0_g3_i1	TR9291-c0_g3_i2	TR20096-c0_g3_i3
TR1699-c1_g2_i3	TR38415-c0_g5_i2	TR20099-c0_g2_i1
TR59269-c0_g5_i4	NA	TR20116-c1_g2_i1
TR21474-c0_g1_i1	TR37431-c0_g1_i1	TR20132-c0_g1_i3
TR56454-c2_g1_i1	TR44445-c0_g1_i3	TR20136-c0_g1_i1
TR28236-c0_g1_i1	TR27232-c0_g1_i1	TR20140-c0_g2_i1
TR52876-c2_g1_i1	TR33635-c0_g1_i1	NA
TR42650-c1_g2_i1	TR48526-c0_g3_i1	NA
TR19514-c0_g6_i3	TR48526-c0_g2_i2	NA
TR24517-c2_g3_i3	TR6800-c0_g2_i1	TR202-c0_g2_i1
TR37227-c0_g4_i1	TR44409-c0_g1_i1	TR20200-c0_g6_i1
TR2445-c1_g1_i2	TR4266-c0_g1_i2	TR20218-c0_g4_i1
TR27971-c0_g1_i1	TR39948-c1_g1_i1	TR20233-c0_g1_i1
TR30101-c0_g1_i1	TR23388-c1_g2_i1	TR2024-c0_g2_i1
TR29021-c0_g2_i1	TR44412-c1_g1_i1	TR20259-c0_g12_i1
TR4657-c0_g6_i4	TR38928-c0_g1_i1	TR20271-c0_g1_i1
TR15216-c4_g4_i1	TR28403-c1_g11_i2	TR20297-c1_g3_i1
TR47726-c1_g5_i2	NA	TR20302-c1_g1_i1
TR16405-c1_g1_i2	TR43266-c1_g1_i1	TR20320-c0_g1_i1
TR57666-c0_g2_i1	TR37326-c0_g1_i2	TR20325-c0_g1_i1
TR36076-c0_g1_i1	TR17075-c1_g1_i2	TR20331-c0_g2_i1
TR21499-c0_g1_i1	TR10867-c0_g1_i6	TR20334-c0_g4_i1
TR44735-c1_g1_i1	TR20352-c0_g1_i1	TR20336-c0_g2_i1
TR16403-c1_g1_i1	TR39823-c0_g2_i1	TR20339-c0_g1_i1
TR33125-c0_g7_i2	TR27347-c0_g2_i2	TR20382-c6_g9_i1
TR3323-c0_g2_i1	TR16604-c0_g3_i1	TR20385-c0_g3_i1
TR6387-c0_g3_i1	TR1120-c0_g1_i1	TR20395-c0_g1_i1
TR28450-c0_g1_i1	TR34205-c0_g1_i1	TR20406-c0_g1_i1
TR11554-c0_g1_i1	TR44394-c0_g1_i1	TR20425-c1_g1_i1
TR57528-c0_g1_i1	TR660-c0_g3_i1	TR20434-c0_g1_i1
TR10450-c0_g5_i1	TR22100-c0_g1_i1	TR20438-c0_g2_i1
TR54874-c0_g1_i3	TR45145-c0_g1_i1	TR20439-c0_g1_i2
TR59881-c2_g1_i1	TR32574-c0_g1_i1	TR20441-c0_g1_i1
TR1226-c0_g1_i1	TR27442-c0_g1_i1	TR20441-c0_g4_i1
TR50086-c3_g10_i1	TR21390-c0_g11_i1	TR20466-c0_g2_i1
TR60454-c0_g1_i1	TR46879-c0_g1_i1	TR20472-c3_g1_i1
TR24711-c0_g1_i1	TR42694-c0_g1_i1	TR20492-c0_g1_i1
TR33209-c3_g1_i1	TR36275-c2_g1_i2	TR20497-c6_g1_i2
TR38156-c1_g4_i2	TR46148-c0_g1_i2	TR20515-c0_g3_i1
TR61769-c3_g1_i1	TR29760-c1_g1_i1	TR20524-c0_g2_i1
TR53650-c0_g1_i1	TR27348-c0_g1_i1	TR20531-c0_g1_i1
TR48299-c2_g1_i1	TR37342-c0_g1_i1	TR20534-c4_g4_i1
TR29057-c0_g1_i1	TR38129-c0_g1_i1	TR20536-c0_g1_i1
TR58111-c1_g1_i1	NA	TR20551-c0_g1_i1
TR39867-c3_g3_i2	TR18206-c1_g1_i1	TR20553-c2_g2_i1
TR11903-c0_g1_i1	TR7671-c0_g1_i1	TR20563-c0_g1_i1
TR51072-c0_g2_i1	TR317-c0_g2_i1	TR20569-c3_g6_i1
TR36153-c1_g3_i1	TR26662-c0_g2_i1	TR20584-c0_g2_i1
TR41202-c2_g1_i1	TR16411-c0_g1_i1	TR20586-c1_g2_i1
TR45650-c2_g2_i1	TR1753-c0_g5_i1	TR20604-c0_g2_i1
TR45650-c0_g1_i1	TR1753-c0_g3_i3	TR20604-c0_g3_i1
TR46392-c0_g1_i1	TR8074-c0_g1_i1	TR20616-c0_g1_i1
TR31241-c0_g1_i1	TR8157-c1_g1_i1	TR20616-c0_g2_i1
TR20396-c0_g12_i1	TR37636-c1_g6_i2	TR20645-c3_g1_i2
TR53517-c0_g11_i4	TR28235-c0_g2_i1	TR20662-c1_g9_i1
TR44109-c0_g2_i1	TR27661-c0_g1_i1	TR20671-c0_g2_i1
TR14086-c1_g2_i1	TR9041-c0_g2_i2	TR20672-c0_g1_i1
TR56165-c0_g2_i1	TR33341-c0_g2_i1	TR20674-c1_g2_i2
TR36095-c0_g1_i1	TR646-c0_g1_i1	TR2069-c0_g1_i1
TR20838-c0_g1_i1	TR47649-c0_g1_i1	TR207-c0_g1_i1
TR34631-c1_g2_i1	TR9096-c0_g2_i2	TR20701-c1_g1_i1
TR1820-c0_g3_i1	TR45195-c0_g2_i1	TR20703-c0_g4_i1
TR1820-c0_g1_i2	TR45195-c0_g4_i4	TR20703-c0_g5_i2
TR1537-c5_g2_i1	TR27986-c0_g3_i1	TR20712-c0_g2_i1
TR44562-c0_g2_i1	TR27604-c0_g2_i1	TR20714-c1_g2_i5
TR15777-c0_g3_i1	TR47140-c11_g1_i1	TR20717-c0_g1_i1
TR59042-c0_g2_i3	TR23712-c0_g2_i1	TR20725-c1_g2_i1
TR44147-c0_g8_i1	TR48082-c1_g3_i1	TR20736-c0_g2_i2
NA	TR17236-c0_g1_i4	TR20741-c1_g3_i2
TR17496-c0_g1_i1	TR7440-c0_g4_i1	TR2075-c0_g1_i1
TR5567-c0_g1_i1	TR4302-c0_g1_i1	TR20757-c0_g4_i1
TR38215-c0_g1_i3	TR36668-c1_g1_i1	NA
TR36880-c0_g1_i1	TR10726-c0_g1_i1	TR20762-c0_g1_i1
TR46228-c1_g1_i1	TR7815-c0_g1_i1	TR20771-c1_g1_i1
TR5613-c0_g2_i1	TR4549-c0_g1_i1	TR20775-c1_g2_i1
TR46054-c0_g1_i2	TR25761-c0_g1_i1	TR20775-c2_g1_i1
TR49461-c1_g1_i1	TR21713-c0_g2_i1	TR20780-c0_g1_i1
TR41171-c0_g3_i1	TR50170-c0_g3_i1	TR20787-c0_g5_i1
TR59984-c0_g2_i1	TR40530-c0_g1_i1	TR2079-c1_g1_i1
TR31156-c0_g1_i1	TR31550-c0_g1_i1	TR20798-c0_g1_i1
TR46252-c0_g1_i1	TR12637-c0_g2_i1	TR20804-c0_g1_i1
TR14235-c4_g7_i1	TR41575-c0_g2_i1	TR20805-c0_g2_i2
TR47385-c0_g1_i1	TR7895-c1_g1_i2	TR20842-c0_g4_i1
TR43155-c0_g1_i1	TR31020-c1_g2_i1	TR20850-c0_g1_i1
TR42526-c7_g3_i1	NA	TR2088-c0_g2_i1
TR44942-c0_g1_i1	TR32370-c0_g1_i1	TR20887-c0_g1_i1
TR61281-c0_g1_i1	TR11246-c1_g1_i1	TR20910-c1_g2_i1
TR30949-c0_g1_i1	TR18063-c0_g2_i1	TR20937-c1_g2_i2
TR44245-c0_g5_i1	TR9542-c0_g2_i1	TR20952-c0_g2_i1
TR17092-c1_g2_i1	TR3788-c0_g1_i1	TR20956-c0_g1_i1
TR24859-c0_g1_i1	TR40833-c0_g1_i1	TR2096-c0_g1_i1
TR2769-c2_g1_i1	TR18096-c0_g1_i1	TR20960-c1_g1_i1
TR27353-c1_g1_i1	TR4696-c0_g1_i1	TR20965-c0_g1_i1
TR9268-c0_g4_i1	TR38632-c0_g6_i1	TR20969-c0_g7_i1
TR46430-c0_g1_i1	TR38760-c0_g1_i1	TR20971-c0_g3_i1
TR9392-c0_g1_i1	TR36628-c0_g2_i1	TR20980-c0_g2_i2
TR9392-c1_g1_i1	TR36628-c0_g3_i1	TR20980-c0_g2_i3
TR48286-c2_g10_i1	TR3114-c0_g1_i1	TR21007-c0_g1_i1
TR22783-c1_g5_i1	TR45467-c0_g4_i2	TR21018-c0_g4_i3
TR24318-c1_g7_i1	TR32849-c0_g1_i1	TR21022-c0_g1_i1
TR26316-c3_g1_i1	TR19003-c0_g1_i2	TR21029-c0_g1_i1
TR33606-c1_g1_i1	TR18110-c0_g2_i1	TR21031-c0_g1_i1
TR10364-c0_g1_i2	TR11922-c0_g1_i1	TR21046-c0_g2_i1
TR9673-c0_g1_i1	TR3155-c0_g1_i1	TR21051-c0_g1_i1
TR19213-c0_g1_i1	TR34421-c2_g1_i1	TR21092-c1_g1_i1
TR7937-c0_g1_i1	TR38123-c0_g1_i1	TR2112-c0_g1_i1
TR8780-c2_g1_i2	TR2708-c0_g1_i1	TR21143-c0_g2_i1
TR58252-c1_g1_i1	TR48360-c0_g1_i1	TR21164-c0_g1_i1
TR11667-c0_g2_i1	TR484-c1_g1_i1	TR21165-c0_g1_i1
TR18077-c0_g2_i1	TR23461-c0_g2_i1	TR21165-c1_g2_i1
TR45286-c0_g1_i1	TR31406-c0_g1_i1	TR21170-c0_g2_i1
TR56446-c1_g6_i1	TR3836-c2_g3_i1	TR21176-c6_g1_i1
TR57708-c1_g4_i1	TR10848-c1_g9_i1	TR2119-c0_g1_i3
TR12667-c0_g1_i1	TR22331-c1_g2_i1	TR21192-c0_g1_i1
TR51594-c2_g2_i1	TR21647-c0_g2_i2	TR21196-c0_g1_i1
TR19779-c0_g1_i1	TR11257-c0_g1_i1	TR21237-c0_g1_i3
TR44072-c0_g3_i4	TR35117-c0_g1_i1	TR2125-c0_g2_i2
TR61025-c0_g1_i1	TR15296-c0_g1_i1	TR21253-c1_g1_i1
TR29573-c1_g2_i1	TR38687-c2_g1_i1	TR21255-c1_g4_i4
TR45176-c0_g1_i1	TR13490-c1_g1_i1	TR21263-c0_g1_i1
TR38625-c2_g3_i1	TR36679-c0_g1_i1	TR21276-c0_g1_i1
TR53-c1_g1_i1	TR5467-c0_g1_i1	TR21290-c0_g1_i1
TR56402-c0_g12_i1	TR25954-c0_g1_i1	TR2131-c1_g6_i1
TR7051-c2_g2_i1	TR3415-c0_g1_i1	TR21312-c0_g2_i1
TR7051-c1_g1_i2	TR27979-c0_g1_i1	TR21312-c1_g3_i1
TR59241-c0_g4_i1	TR45534-c0_g2_i1	TR21316-c1_g1_i1
TR834-c9_g1_i5	TR40270-c1_g3_i3	TR21320-c0_g1_i1
TR51477-c0_g2_i1	TR27481-c0_g2_i1	TR21322-c1_g1_i1
TR54733-c0_g1_i1	TR22445-c0_g2_i1	TR21333-c0_g2_i1
TR55393-c0_g2_i1	TR13581-c0_g2_i1	TR21341-c0_g1_i1
TR14089-c0_g1_i1	TR5814-c0_g1_i1	TR21348-c0_g1_i1
TR56248-c0_g1_i1	TR37220-c0_g1_i1	TR21355-c0_g2_i1
TR22015-c0_g1_i1	TR6978-c0_g1_i1	TR21356-c0_g1_i1
TR41792-c0_g1_i1	TR2621-c0_g1_i1	TR21357-c0_g3_i1
TR32629-c0_g1_i2	TR27102-c0_g2_i1	TR21371-c0_g3_i1
TR32629-c0_g3_i2	TR27102-c0_g3_i1	TR21371-c0_g5_i1
TR15438-c0_g3_i1	TR33737-c0_g1_i3	TR21379-c0_g1_i1
TR20147-c0_g1_i1	TR32436-c0_g1_i1	TR21385-c0_g1_i1
TR1397-c0_g1_i1	TR46346-c0_g1_i1	TR21386-c0_g1_i1
TR33198-c0_g1_i1	TR13316-c1_g1_i1	TR214-c1_g1_i1
TR35710-c0_g2_i2	TR27884-c0_g1_i1	TR21403-c0_g1_i1
TR47165-c0_g1_i1	TR14608-c0_g1_i4	TR21417-c0_g1_i1
TR688-c0_g1_i1	TR50432-c0_g1_i1	TR21424-c0_g1_i2
TR61252-c0_g1_i1	TR1437-c0_g1_i1	TR21426-c0_g1_i1
TR34154-c0_g6_i1	TR17756-c0_g3_i1	TR21428-c0_g1_i3
TR30594-c0_g2_i1	TR9755-c0_g1_i1	TR21429-c0_g1_i1
TR24122-c0_g1_i1	TR45993-c0_g1_i1	TR21435-c0_g11_i1
TR5325-c0_g1_i1	TR23812-c0_g1_i1	TR2146-c2_g2_i1
TR50272-c3_g1_i1	TR47140-c16_g1_i1	TR21462-c1_g1_i1
TR52488-c0_g1_i1	TR23725-c0_g1_i1	TR21467-c0_g1_i1
TR38911-c0_g4_i1	TR15399-c1_g1_i3	TR21467-c2_g1_i2
TR50731-c0_g1_i1	TR46671-c0_g1_i1	TR2147-c0_g1_i1
TR27318-c0_g6_i1	TR40809-c0_g1_i1	TR21475-c0_g1_i2
TR31743-c2_g1_i1	TR47068-c0_g3_i2	TR21483-c3_g5_i2
TR13460-c0_g1_i1	TR1638-c0_g2_i1	TR215-c0_g1_i1
TR47891-c0_g2_i1	TR23032-c0_g1_i2	TR21500-c0_g1_i1
TR7575-c2_g4_i1	TR29882-c0_g2_i1	TR21510-c1_g1_i2
TR17875-c0_g1_i1	TR6645-c0_g1_i1	TR21539-c2_g1_i1
TR26541-c1_g1_i2	TR5763-c0_g1_i1	TR21549-c1_g2_i1
TR61342-c1_g5_i1	TR18894-c0_g4_i4	TR21578-c0_g9_i1
TR49799-c3_g2_i1	TR14487-c0_g1_i3	TR21593-c0_g4_i2
TR24462-c2_g1_i1	TR48813-c0_g1_i1	TR21603-c0_g1_i1
TR38024-c0_g1_i2	TR20206-c0_g3_i1	TR2162-c1_g4_i1
TR14293-c1_g1_i2	TR46121-c0_g1_i1	TR21622-c0_g2_i1
TR14293-c0_g2_i1	TR46121-c1_g5_i1	TR21622-c0_g4_i1
TR14293-c2_g2_i1	TR46121-c1_g3_i1	TR21622-c0_g7_i1
TR9815-c2_g2_i1	TR41090-c0_g2_i1	TR21625-c0_g1_i3
TR13380-c0_g3_i1	TR5995-c1_g1_i1	TR21669-c0_g1_i1
TR39619-c0_g3_i1	TR525-c0_g1_i1	TR21670-c0_g1_i1
TR11186-c0_g2_i1	TR15793-c0_g1_i3	TR2168-c0_g2_i2
TR54669-c1_g1_i1	TR30194-c2_g2_i1	TR21692-c1_g2_i1
TR55715-c0_g1_i4	TR4935-c0_g2_i1	TR21698-c2_g1_i1
TR47556-c0_g4_i1	TR22839-c0_g1_i2	TR21705-c0_g2_i1
TR44017-c0_g1_i1	TR10749-c0_g2_i1	TR21711-c2_g1_i1
TR54876-c0_g2_i1	TR11194-c0_g1_i1	TR21721-c0_g1_i1
TR4653-c3_g1_i1	NA	TR21742-c1_g1_i1
TR15791-c0_g1_i1	TR16695-c0_g1_i1	TR21743-c1_g1_i1
TR58473-c0_g1_i1	TR49819-c0_g1_i4	TR21749-c1_g1_i2
TR35062-c0_g1_i1	TR35613-c0_g1_i2	TR21751-c1_g10_i1
TR36982-c0_g1_i1	TR46556-c0_g4_i1	TR21751-c1_g17_i2
TR29176-c0_g8_i1	TR35329-c0_g1_i1	TR21754-c0_g11_i3
TR13451-c0_g3_i1	TR47336-c3_g1_i4	TR21759-c0_g5_i2
TR2940-c0_g1_i1	TR17624-c0_g1_i1	TR21768-c0_g1_i1
TR32655-c0_g3_i1	TR25099-c1_g1_i1	TR21782-c0_g5_i1
TR48540-c0_g1_i1	TR15326-c0_g1_i1	TR21841-c0_g3_i3
TR17042-c0_g3_i1	TR23770-c0_g2_i2	TR21849-c1_g2_i1
TR46157-c1_g7_i1	TR32501-c0_g1_i1	TR21863-c3_g1_i1
TR60865-c0_g8_i1	TR1544-c2_g14_i1	TR21872-c0_g1_i1
TR13410-c1_g1_i1	TR25658-c0_g1_i2	TR21882-c0_g1_i1
TR27243-c0_g1_i1	TR40003-c0_g1_i1	TR21894-c0_g2_i1
TR17856-c0_g1_i1	TR11484-c0_g3_i1	TR21896-c0_g1_i1
TR55989-c1_g8_i3	TR27226-c1_g1_i4	TR21898-c4_g2_i1
TR47157-c0_g1_i1	TR26717-c0_g2_i1	TR21912-c1_g4_i1
TR56344-c3_g1_i1	TR36314-c0_g1_i1	TR21921-c5_g1_i1
TR10567-c0_g8_i1	TR2063-c0_g3_i1	TR21924-c1_g12_i1
TR26916-c0_g1_i1	TR35528-c0_g2_i1	TR21947-c0_g2_i1
TR27662-c0_g1_i1	TR36065-c0_g3_i1	TR21950-c0_g1_i1
TR23301-c0_g6_i1	TR12733-c0_g3_i1	TR21966-c0_g8_i1
TR52479-c0_g5_i1	TR13013-c0_g2_i1	TR21974-c0_g1_i2
TR31294-c1_g7_i1	TR37751-c0_g1_i1	TR21984-c1_g2_i1
