contig	species	dN	dS	dNdS
TR29607-c0_g1_i1	macro	0.0062	0.0001	99.0000
TR29613-c1_g2_i2	macro	0.0022	0.0159	0.1359
TR29646-c0_g1_i2	macro	0.0000	0.0323	0.0010
TR29685-c0_g3_i1	macro	0.0000	0.0167	0.0010
TR29700-c0_g1_i1	macro	0.0029	0.0511	0.0567
TR29700-c1_g1_i1	macro	0.0610	0.2468	0.2472
TR29700-c3_g7_i1	macro	0.0000	0.0428	0.0010
TR29720-c3_g2_i1	macro	0.0056	0.0450	0.1249
TR29733-c0_g2_i1	macro	0.0000	0.0348	0.0010
TR29744-c0_g4_i1	macro	0.0000	0.0444	0.0010
TR2974-c1_g1_i1	macro	0.0000	0.0213	0.0010
TR29762-c2_g8_i2	macro	0.0013	0.0051	0.2587
TR29763-c1_g4_i1	macro	0.0000	0.0000	2.0019
TR29763-c1_g6_i1	macro	0.0000	0.0000	0.3538
TR29772-c0_g1_i1	macro	0.0000	0.0252	0.0010
TR29772-c2_g1_i1	macro	0.0000	0.0370	0.0010
TR29772-c2_g4_i5	macro	0.0000	0.0189	0.0010
TR29773-c0_g2_i1	macro	0.0049	0.0234	0.2114
TR29790-c0_g1_i1	macro	0.0001	0.0567	0.0010
TR29796-c0_g2_i1	macro	0.0000	0.0080	0.0010
TR29797-c2_g1_i1	macro	0.0000	0.0186	0.0010
TR29797-c3_g1_i1	macro	0.0000	0.0000	2.0027
TR29799-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR29802-c0_g1_i1	macro	0.0034	0.0664	0.0508
TR29817-c1_g1_i1	macro	0.0476	0.0560	0.8496
TR29817-c1_g7_i1	macro	0.0124	0.0001	99.0000
TR29827-c1_g6_i2	macro	0.0001	0.0622	0.0010
TR29831-c0_g5_i1	macro	0.0001	0.0838	0.0010
TR29831-c0_g6_i1	macro	0.0000	0.0306	0.0010
TR29836-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR29852-c0_g3_i1	macro	0.0000	0.0268	0.0010
TR29862-c0_g5_i1	macro	0.1607	0.1666	0.9651
TR29869-c0_g1_i2	macro	0.0000	0.0033	0.0010
TR29910-c0_g4_i1	macro	0.0000	0.0372	0.0010
TR2991-c0_g6_i1	macro	0.0040	0.0000	99.0000
TR29924-c0_g1_i1	macro	0.0000	0.0000	0.3671
TR29935-c5_g5_i2	macro	0.0085	0.0291	0.2914
TR29965-c0_g2_i1	macro	0.0074	0.0150	0.4964
TR29995-c0_g1_i1	macro	0.0000	0.0000	0.3490
TR30024-c0_g1_i2	macro	0.0000	0.0318	0.0010
TR30024-c0_g1_i3	macro	0.0000	0.0000	0.0010
TR30024-c0_g5_i2	macro	0.0076	0.0245	0.3114
TR30024-c0_g6_i1	macro	0.0056	0.0001	99.0000
TR30051-c0_g1_i3	macro	0.0001	0.0695	0.0010
TR30101-c0_g1_i1	macro	0.0001	0.0662	0.0010
TR30106-c0_g1_i1	macro	0.0000	0.0338	0.0010
TR30108-c0_g1_i1	macro	0.0000	0.0059	0.0010
TR30120-c0_g2_i1	macro	0.0084	0.0417	0.2013
TR30134-c0_g2_i1	macro	0.0001	0.1126	0.0010
TR3013-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR30167-c7_g4_i3	macro	0.0000	0.0000	0.3274
TR30168-c0_g1_i1	macro	0.0000	0.0000	2.0005
TR30184-c0_g1_i1	macro	0.0000	0.0340	0.0010
TR30194-c1_g3_i4	macro	0.0001	0.0559	0.0010
TR30201-c0_g1_i1	macro	0.0001	0.0624	0.0010
TR30215-c0_g3_i1	macro	0.0000	0.0187	0.0010
TR30219-c0_g1_i4	macro	0.0095	0.0171	0.5561
TR30257-c0_g2_i1	macro	0.0021	0.0219	0.0941
TR3028-c10_g3_i1	macro	0.0054	0.0147	0.3668
TR3028-c5_g1_i1	macro	0.0000	0.0113	0.0010
TR3028-c6_g1_i1	macro	0.0041	0.0366	0.1114
TR30290-c0_g7_i1	macro	0.0000	0.0376	0.0010
TR30291-c0_g1_i1	macro	0.0040	0.0375	0.1079
TR30292-c0_g1_i1	macro	0.0000	0.0121	0.0010
TR30304-c0_g1_i1	macro	0.0001	0.0723	0.0010
TR3030-c0_g7_i1	macro	0.0000	0.0186	0.0010
TR30317-c0_g4_i2	macro	0.0079	0.0593	0.1335
TR30337-c0_g2_i1	macro	0.0024	0.0197	0.1220
TR30353-c0_g1_i1	macro	0.1013	0.2212	0.4579
TR30358-c0_g1_i1	macro	0.0028	0.0065	0.4302
TR30358-c0_g2_i1	macro	0.0096	0.0868	0.1106
TR30365-c0_g1_i1	macro	0.0000	0.0253	0.0010
TR30366-c0_g1_i1	macro	0.0000	0.0253	0.0010
TR30404-c0_g4_i1	macro	0.0062	0.0204	0.3013
TR30421-c1_g6_i1	macro	0.0000	0.0164	0.0010
TR30427-c0_g1_i1	macro	0.0000	0.0307	0.0010
TR30459-c0_g1_i1	macro	0.0000	0.0417	0.0010
TR30483-c0_g1_i1	macro	0.0000	0.0313	0.0010
TR30505-c1_g2_i1	macro	0.0000	0.0133	0.0010
TR30513-c1_g1_i2	macro	0.0000	0.0234	0.0010
TR30535-c0_g2_i1	macro	0.0039	0.0122	0.3190
TR30542-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR30550-c0_g1_i1	macro	0.0000	0.0147	0.0010
TR30554-c1_g1_i1	macro	0.0049	0.0424	0.1160
TR30563-c0_g2_i1	macro	0.0035	0.0000	99.0000
TR30567-c1_g5_i1	macro	0.0001	0.0895	0.0010
TR3056-c0_g1_i2	macro	0.0000	0.0301	0.0010
TR30584-c3_g2_i1	macro	0.0000	0.0150	0.0010
TR3058-c0_g1_i1	macro	0.0074	0.0262	0.2835
TR30594-c0_g2_i1	macro	0.0000	0.0107	0.0010
TR30603-c7_g6_i1	macro	0.0449	0.0776	0.5788
TR30604-c1_g3_i2	macro	0.0050	0.0200	0.2503
TR30614-c1_g1_i4	macro	0.0030	0.0085	0.3482
TR30645-c3_g3_i1	macro	0.0000	0.0162	0.0010
TR30645-c5_g1_i1	macro	0.0000	0.0497	0.0010
TR30667-c0_g1_i1	macro	0.0000	0.0421	0.0010
TR30674-c0_g1_i1	macro	0.0000	0.0188	0.0010
TR30685-c1_g2_i1	macro	0.0000	0.0252	0.0010
TR30698-c0_g1_i1	macro	0.0180	0.0681	0.2641
TR30725-c0_g5_i4	macro	0.0379	0.0424	0.8938
TR30725-c0_g6_i3	macro	0.0321	0.0182	1.7608
TR30762-c1_g1_i4	macro	0.0001	0.0591	0.0010
TR30776-c0_g3_i1	macro	0.0017	0.0267	0.0645
TR30781-c1_g1_i1	macro	0.0443	0.0004	99.0000
TR30790-c1_g1_i1	macro	0.0000	0.0000	6.1160
TR30793-c0_g1_i1	macro	0.0817	2.5525	0.0320
TR30812-c0_g3_i1	macro	0.0001	0.1300	0.0010
TR30818-c2_g3_i2	macro	0.0000	0.0406	0.0010
TR30843-c0_g1_i1	macro	0.0075	0.0001	99.0000
TR30857-c0_g1_i1	macro	0.0051	0.0610	0.0843
TR30917-c0_g1_i1	macro	0.0000	0.0185	0.0010
TR30948-c0_g4_i1	macro	0.0000	0.0000	0.0010
TR30949-c0_g1_i1	macro	0.0000	0.0150	0.0010
TR30972-c0_g1_i2	macro	0.0259	0.0384	0.6740
TR30972-c0_g6_i1	macro	0.0094	0.0245	0.3828
TR3100-c0_g1_i1	macro	0.0000	0.0108	0.0010
TR31014-c0_g1_i1	macro	0.0167	0.0274	0.6115
TR31039-c0_g3_i1	macro	0.0000	0.0000	0.0010
TR31045-c0_g1_i1	macro	0.1078	0.4842	0.2227
TR31045-c1_g1_i1	macro	0.0357	0.1557	0.2291
TR31045-c1_g4_i1	macro	0.0000	0.0000	0.0010
TR31045-c1_g8_i1	macro	0.0000	0.0129	0.0010
TR31072-c0_g2_i1	macro	0.0000	0.0055	0.0010
TR31091-c2_g1_i1	macro	0.0000	0.0098	0.0010
TR31096-c12_g1_i1	macro	0.0001	0.0814	0.0010
TR31103-c0_g2_i3	macro	0.0000	0.0182	0.0010
TR31105-c0_g5_i3	macro	0.0000	0.0000	99.0000
TR31114-c5_g6_i3	macro	0.0000	0.0125	0.0010
TR31116-c0_g1_i1	macro	0.0000	0.0178	0.0010
TR31129-c0_g2_i3	macro	0.0098	0.0369	0.2653
TR31145-c0_g1_i1	macro	0.0000	0.0069	0.0010
TR31147-c0_g1_i1	macro	0.0000	0.0000	0.2784
TR31152-c0_g4_i1	macro	0.1948	2.7373	0.0712
TR31154-c1_g1_i1	macro	0.0041	0.0362	0.1120
TR31156-c0_g1_i1	macro	0.0000	0.0483	0.0010
TR31165-c1_g1_i1	macro	0.0096	0.0400	0.2411
TR31170-c0_g16_i2	macro	0.0001	0.0655	0.0010
TR31176-c6_g1_i4	macro	0.0001	0.0533	0.0010
TR31182-c0_g5_i1	macro	0.0039	0.0107	0.3644
TR31186-c1_g1_i1	macro	0.0038	0.0331	0.1142
TR31187-c0_g1_i1	macro	0.0000	0.0348	0.0010
TR31216-c1_g2_i1	macro	0.0000	0.0000	0.0010
TR31234-c0_g1_i1	macro	0.0041	0.0245	0.1675
TR31241-c0_g1_i1	macro	0.0056	0.0001	99.0000
TR31272-c0_g1_i1	macro	0.0000	0.0260	0.0010
TR31294-c1_g7_i1	macro	0.0058	0.0293	0.1968
TR31299-c1_g2_i6	macro	0.0002	0.1949	0.0010
TR31299-c1_g3_i3	macro	0.0000	0.0000	0.0010
TR31327-c0_g4_i1	macro	0.0029	0.0861	0.0342
TR31341-c0_g1_i1	macro	0.0064	0.0581	0.1103
TR31347-c0_g1_i1	macro	0.0000	0.0219	0.0010
TR31350-c0_g6_i4	macro	0.0001	0.0658	0.0010
TR31367-c0_g1_i1	macro	0.1014	0.2078	0.4877
TR31378-c0_g1_i1	macro	0.0000	0.0147	0.0010
TR31385-c0_g2_i1	macro	0.0001	0.0679	0.0010
TR31389-c0_g1_i1	macro	0.0054	0.0452	0.1186
TR31399-c0_g1_i1	macro	0.0000	0.0236	0.0010
TR31405-c0_g5_i1	macro	0.0000	0.0000	0.0010
TR31414-c0_g1_i1	macro	0.0082	0.0552	0.1490
TR31421-c0_g1_i1	macro	0.0001	0.1228	0.0010
TR31433-c0_g1_i1	macro	0.0145	0.0001	99.0000
TR31433-c1_g1_i1	macro	0.0091	0.0001	99.0000
TR31436-c0_g3_i1	macro	0.0081	0.0244	0.3313
TR31439-c0_g1_i3	macro	0.0068	0.0300	0.2285
TR31459-c0_g1_i1	macro	0.0000	0.0263	0.0010
TR31460-c0_g2_i3	macro	0.0039	0.0086	0.4556
TR31463-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR31498-c2_g3_i2	macro	0.0169	0.0212	0.7956
TR314-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR31509-c1_g2_i1	macro	0.0048	0.0584	0.0828
TR31561-c0_g2_i1	macro	0.0207	0.0598	0.3459
TR31570-c1_g1_i1	macro	0.0000	0.0000	0.2566
TR31586-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR31587-c1_g1_i1	macro	0.0000	0.0259	0.0010
TR31602-c1_g6_i1	macro	0.0000	0.0200	0.0010
TR31604-c0_g2_i1	macro	0.0001	0.0640	0.0010
TR31640-c1_g2_i2	macro	0.0000	0.0000	0.7665
TR31641-c0_g2_i1	macro	0.0060	0.0196	0.3064
TR31655-c0_g1_i1	macro	0.0000	0.0000	2.0021
TR31655-c0_g6_i1	macro	0.0000	0.0086	0.0010
TR31662-c0_g1_i1	macro	0.0859	4.8920	0.0176
TR3168-c0_g1_i1	macro	0.0000	0.0379	0.0010
TR3168-c0_g3_i1	macro	0.0000	0.0092	0.0010
TR31701-c1_g1_i1	macro	0.0000	0.0182	0.0010
TR31702-c0_g8_i1	macro	0.0000	0.0147	0.0010
TR31713-c0_g14_i1	macro	0.0000	0.0000	0.0010
TR31739-c4_g1_i1	macro	0.0157	0.0155	1.0131
TR31743-c2_g1_i1	macro	0.0000	0.0000	0.0010
TR31780-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR31800-c0_g4_i1	macro	0.0044	0.1338	0.0331
TR31811-c1_g6_i2	macro	0.0000	0.0186	0.0010
TR31819-c1_g1_i1	macro	0.0081	0.0857	0.0939
TR31822-c1_g10_i1	macro	0.0419	0.1043	0.4012
TR31822-c1_g13_i2	macro	0.0000	0.0000	0.0010
TR31822-c1_g14_i1	macro	0.0000	0.0000	0.0010
TR31823-c1_g1_i1	macro	0.0363	0.1124	0.3229
TR31847-c0_g1_i1	macro	0.0146	0.0866	0.1685
TR31847-c0_g6_i1	macro	0.0000	0.0000	0.3190
TR31862-c1_g1_i1	macro	0.0000	0.0456	0.0010
TR31869-c0_g1_i1	macro	0.0000	0.0000	1.6022
TR31881-c0_g2_i1	macro	0.0082	0.0482	0.1708
TR31961-c0_g4_i1	macro	0.0000	0.0190	0.0010
TR319-c0_g4_i1	macro	0.0090	0.0422	0.2137
TR32010-c0_g2_i1	macro	0.0034	0.1593	0.0212
TR32013-c0_g2_i1	macro	0.0000	0.0000	0.0700
TR32038-c0_g1_i1	macro	0.0000	0.0000	99.0000
TR32038-c0_g3_i2	macro	0.0000	0.0000	61.8898
TR32046-c11_g16_i3	macro	0.0000	0.0137	0.0010
TR32046-c13_g1_i1	macro	0.0459	0.1104	0.4158
TR32046-c4_g3_i1	macro	0.0034	0.0526	0.0650
TR3206-c0_g1_i1	macro	0.0069	0.0333	0.2083
TR3206-c3_g10_i2	macro	0.0048	0.0471	0.1022
TR3206-c3_g11_i1	macro	0.1144	0.3066	0.3731
TR32098-c3_g2_i1	macro	0.0051	0.0156	0.3281
TR32123-c3_g5_i1	macro	0.0370	0.0834	0.4438
TR32237-c0_g2_i1	macro	0.0069	0.0212	0.3264
TR32238-c0_g2_i1	macro	0.0000	0.0099	0.0010
TR3224-c0_g1_i1	macro	0.0000	0.0000	0.3585
TR32279-c2_g13_i1	macro	0.0139	0.0161	0.8651
TR32281-c0_g2_i1	macro	0.0000	0.0294	0.0010
TR32290-c0_g3_i1	macro	0.0001	0.1104	0.0010
TR3230-c0_g6_i1	macro	0.0023	0.0320	0.0721
TR32317-c0_g1_i1	macro	0.0056	0.0130	0.4304
TR32319-c0_g1_i1	macro	0.0169	0.0438	0.3858
TR32338-c0_g2_i2	macro	0.0001	0.0505	0.0010
TR32343-c1_g1_i1	macro	0.0000	0.0231	0.0010
TR32353-c0_g1_i1	macro	0.0064	0.0417	0.1538
TR32361-c0_g1_i1	macro	0.0000	0.0287	0.0010
TR32361-c0_g4_i1	macro	0.0000	0.0000	2.8438
TR32385-c0_g10_i2	macro	0.0000	0.0000	0.0010
TR3239-c0_g2_i1	macro	0.0042	0.0441	0.0946
TR32430-c0_g1_i1	macro	0.0000	0.0080	0.0010
TR32430-c0_g4_i2	macro	0.0000	0.0000	0.0010
TR32450-c0_g2_i1	macro	0.0000	0.0000	1.8792
TR32479-c0_g12_i1	macro	0.0518	0.0370	1.4016
TR32479-c0_g19_i1	macro	0.0078	0.0199	0.3913
TR32495-c2_g6_i1	macro	0.0001	0.0969	0.0010
TR32509-c0_g1_i1	macro	0.0064	0.0001	99.0000
TR32509-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR32516-c0_g1_i2	macro	0.0167	0.0406	0.4121
TR32542-c0_g5_i1	macro	0.0000	0.0319	0.0010
TR32584-c0_g2_i1	macro	0.0061	0.0217	0.2825
TR3259-c0_g6_i1	macro	0.0092	0.0106	0.8679
TR32614-c0_g1_i1	macro	0.0000	0.0355	0.0010
TR3261-c0_g1_i1	macro	0.0000	0.0268	0.0010
TR32627-c0_g2_i2	macro	0.0960	0.0471	2.0372
TR32629-c0_g1_i2	macro	0.0046	0.0206	0.2224
TR32629-c0_g3_i2	macro	0.0001	0.0628	0.0010
TR32641-c0_g1_i1	macro	0.0000	0.0288	0.0010
TR32655-c0_g3_i1	macro	0.0036	0.0000	99.0000
TR3267-c4_g2_i1	macro	0.0050	0.0599	0.0832
TR32682-c2_g1_i1	macro	0.0000	0.0273	0.0010
TR32721-c1_g7_i3	macro	0.0000	0.0129	0.0010
TR32746-c1_g1_i2	macro	0.0253	0.0003	99.0000
TR32748-c1_g1_i1	macro	0.0000	0.0000	0.3532
TR32753-c0_g1_i1	macro	0.0000	0.0000	2.0011
TR32758-c1_g1_i1	macro	0.0820	0.0842	0.9735
TR32763-c1_g1_i1	macro	0.0093	0.0553	0.1681
TR32770-c1_g1_i1	macro	0.0000	0.0000	2.0008
TR32779-c0_g1_i1	macro	0.0173	0.0384	0.4517
TR32785-c0_g2_i1	macro	0.0066	0.0241	0.2720
TR32801-c2_g1_i1	macro	0.0270	0.0235	1.1490
TR32802-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR32804-c0_g1_i1	macro	0.1299	0.1832	0.7089
TR32815-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR32829-c0_g1_i1	macro	0.0000	0.0306	0.0010
TR3282-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR32830-c0_g5_i2	macro	0.0064	0.0508	0.1266
TR32835-c1_g4_i2	macro	0.0506	0.1354	0.3735
TR32838-c2_g1_i2	macro	0.0052	0.1274	0.0408
TR32860-c1_g1_i1	macro	0.0064	0.0220	0.2910
TR32862-c0_g4_i1	macro	0.0058	0.0316	0.1845
TR32867-c0_g1_i1	macro	0.0000	0.0131	0.0010
TR32872-c2_g2_i1	macro	0.0027	0.0105	0.2595
TR32889-c1_g1_i1	macro	0.0000	0.0123	0.0010
TR32909-c0_g4_i2	macro	0.0000	0.0156	0.0010
TR32915-c1_g1_i1	macro	0.0035	0.0273	0.1293
TR32946-c0_g5_i1	macro	0.0001	0.0668	0.0010
TR32988-c0_g1_i1	macro	0.0993	0.1597	0.6218
TR32989-c0_g3_i1	macro	0.0000	0.0000	0.0010
TR32990-c1_g1_i1	macro	0.0000	0.0131	0.0010
TR32994-c0_g3_i1	macro	0.0000	0.0240	0.0010
TR33004-c0_g6_i1	macro	0.0000	0.0166	0.0010
TR33009-c1_g1_i1	macro	0.0000	0.0000	0.0010
TR33027-c0_g3_i3	macro	0.0270	0.0716	0.3765
TR33028-c0_g2_i1	macro	0.0096	0.0821	0.1168
TR33028-c0_g5_i1	macro	0.0076	0.0128	0.5938
TR33044-c0_g3_i4	macro	0.0000	0.0170	0.0010
TR3306-c0_g1_i1	macro	0.0052	0.0651	0.0793
TR33073-c0_g1_i1	macro	0.0000	0.0224	0.0010
TR330-c0_g1_i1	macro	0.0000	0.0335	0.0010
TR33103-c0_g1_i1	macro	0.0079	0.0241	0.3269
TR33104-c0_g1_i1	macro	0.0000	0.0313	0.0010
TR33107-c0_g1_i1	macro	0.0001	0.0509	0.0010
TR33118-c0_g3_i2	macro	0.0134	0.0224	0.5994
TR33125-c0_g7_i2	macro	0.0298	0.0466	0.6391
TR33135-c0_g1_i2	macro	0.0000	0.0145	0.0010
TR33156-c0_g1_i1	macro	0.0000	0.0063	0.0010
TR33162-c2_g3_i1	macro	0.0074	0.0104	0.7158
TR33171-c1_g3_i1	macro	0.0001	0.0989	0.0010
TR33171-c1_g4_i1	macro	0.0001	0.0560	0.0010
TR33171-c2_g1_i1	macro	0.0000	0.0000	0.0010
TR33181-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR33193-c1_g2_i1	macro	0.0057	0.0221	0.2582
TR33198-c0_g1_i1	macro	0.0036	0.0421	0.0851
TR33209-c3_g1_i1	macro	0.0033	0.0245	0.1351
TR33212-c0_g2_i1	macro	0.0028	0.0147	0.1880
TR3323-c0_g2_i1	macro	0.0099	0.0956	0.1041
TR33240-c0_g1_i1	macro	0.0000	0.0167	0.0010
TR33278-c0_g1_i1	macro	0.0000	0.0044	0.0010
TR33278-c1_g1_i1	macro	0.0000	0.0288	0.0010
TR33309-c0_g1_i1	macro	0.0000	0.0223	0.0010
TR33316-c0_g1_i1	macro	0.0847	1.8264	0.0464
TR33344-c0_g1_i1	macro	0.0020	0.0455	0.0437
TR33374-c0_g1_i4	macro	0.0035	0.0000	99.0000
TR33388-c0_g5_i1	macro	0.0000	0.0352	0.0010
TR33394-c0_g1_i1	macro	0.0033	0.0165	0.1967
TR33438-c0_g2_i1	macro	0.0000	0.0087	0.0010
TR33438-c0_g6_i1	macro	0.0001	0.0585	0.0010
TR33438-c0_g7_i1	macro	0.0001	0.0853	0.0010
TR33477-c1_g4_i1	macro	0.0143	0.1139	0.1259
TR33500-c0_g3_i1	macro	0.0000	0.0000	0.3635
TR33527-c0_g1_i1	macro	0.0000	0.0066	0.0010
TR33578-c0_g4_i1	macro	0.0050	0.0265	0.1869
TR33578-c0_g5_i1	macro	0.0000	0.0282	0.0010
TR33585-c0_g2_i1	macro	0.0000	0.0000	2.0012
TR33606-c1_g1_i1	macro	0.0000	0.0352	0.0010
TR33612-c0_g2_i2	macro	0.0199	0.0258	0.7714
TR33614-c0_g2_i1	macro	0.1248	0.2930	0.4260
TR33625-c0_g2_i1	macro	0.0000	0.0121	0.0010
TR33648-c2_g12_i1	macro	0.2239	0.1352	1.6556
TR33663-c0_g1_i3	macro	0.0000	0.0000	0.0010
TR33670-c0_g1_i1	macro	0.0018	0.0190	0.0927
TR33706-c0_g4_i1	macro	0.0068	0.0641	0.1060
TR33708-c0_g2_i1	macro	0.0021	0.0324	0.0660
TR33716-c0_g1_i2	macro	0.0000	0.0364	0.0010
TR33727-c1_g1_i1	macro	0.0000	0.0207	0.0010
TR3375-c0_g4_i1	macro	0.0001	0.0716	0.0010
TR33767-c1_g11_i1	macro	0.0000	0.0225	0.0010
TR33792-c1_g1_i2	macro	0.0000	0.0228	0.0010
TR33792-c2_g7_i1	macro	0.0000	0.0000	99.0000
TR33797-c0_g4_i1	macro	0.0001	0.0592	0.0010
TR33797-c1_g1_i1	macro	0.0076	0.0208	0.3661
TR33797-c1_g4_i3	macro	0.0059	0.0062	0.9530
TR33813-c0_g5_i1	macro	0.0000	0.0000	0.0075
TR33820-c0_g2_i2	macro	0.0000	0.0456	0.0010
TR33833-c0_g3_i1	macro	0.0000	0.0000	99.0000
TR33846-c0_g8_i1	macro	0.0000	0.0260	0.0010
TR33882-c0_g1_i1	macro	0.0000	0.0375	0.0010
TR33888-c0_g1_i1	macro	0.0047	0.0379	0.1242
TR33906-c0_g1_i1	macro	0.0001	0.0706	0.0010
TR33917-c3_g2_i1	macro	0.1078	0.1969	0.5477
TR33956-c1_g2_i1	macro	0.0000	0.0442	0.0010
TR33998-c0_g6_i2	macro	0.0040	0.0269	0.1478
TR34000-c0_g3_i1	macro	0.0000	0.0314	0.0010
TR34004-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR3400-c0_g1_i2	macro	0.0019	0.0366	0.0516
TR34023-c0_g5_i1	macro	0.0000	0.0000	0.0010
TR34023-c0_g7_i2	macro	0.0000	0.0295	0.0010
TR34039-c0_g1_i2	macro	0.0153	0.0477	0.3212
TR34046-c0_g12_i2	macro	0.0157	0.0175	0.8991
TR34046-c0_g1_i3	macro	0.0108	0.0329	0.3289
TR34075-c1_g1_i3	macro	0.0000	0.0000	0.0010
TR34078-c0_g1_i1	macro	0.0000	0.0159	0.0010
TR34112-c1_g3_i1	macro	0.0096	0.0296	0.3232
TR34118-c0_g1_i1	macro	0.0470	0.1735	0.2709
TR34141-c2_g1_i1	macro	0.0000	0.0000	0.2789
TR34141-c3_g2_i2	macro	0.0000	0.0127	0.0010
TR34154-c0_g6_i1	macro	0.0024	0.0355	0.0675
TR34161-c0_g3_i1	macro	0.0045	0.0257	0.1732
TR34171-c1_g2_i1	macro	0.0001	0.0684	0.0010
TR34172-c1_g3_i3	macro	0.0032	0.0230	0.1371
TR34191-c0_g2_i1	macro	0.0000	0.0000	2.0014
TR34210-c1_g3_i1	macro	0.0088	0.0001	99.0000
TR34216-c0_g5_i1	macro	0.0000	0.0185	0.0010
TR34216-c0_g6_i1	macro	0.0000	0.0382	0.0010
TR34236-c0_g1_i1	macro	0.0000	0.0000	0.0010
TR34238-c0_g1_i1	macro	0.0141	3.3014	0.0043
TR34253-c0_g1_i1	macro	0.0000	0.0110	0.0010
TR34255-c0_g1_i1	macro	0.0138	0.0131	1.0527
TR3425-c0_g2_i1	macro	0.0001	0.0879	0.0010
TR34275-c0_g7_i3	macro	0.0000	0.0098	0.0010
TR34304-c0_g1_i1	macro	0.0000	0.0206	0.0010
TR34316-c3_g1_i1	macro	0.0000	0.0118	0.0010
TR34316-c5_g3_i4	macro	0.0000	0.0000	0.0010
TR34346-c1_g3_i1	macro	0.0000	0.0352	0.0010
TR34366-c0_g1_i1	macro	0.0000	0.0187	0.0010
TR34376-c1_g1_i1	macro	0.0019	0.0401	0.0477
TR34400-c1_g2_i1	macro	0.0000	0.0221	0.0010
TR34401-c0_g1_i1	macro	0.0000	0.0278	0.0010
TR34431-c0_g7_i1	macro	0.0045	0.0146	0.3094
TR34454-c0_g1_i1	macro	0.0043	0.0000	99.0000
TR34455-c1_g1_i1	macro	0.0000	0.0376	0.0010
TR34473-c0_g2_i1	macro	0.0223	0.0175	1.2733
TR34473-c2_g1_i3	macro	0.0000	0.0000	0.3337
TR34509-c0_g2_i1	macro	0.0000	0.0000	0.0010
TR34516-c4_g3_i2	macro	0.0000	0.0314	0.0010
TR34516-c4_g4_i1	macro	0.0000	0.0106	0.0010
TR34566-c1_g2_i1	macro	0.0248	0.1130	0.2196
TR34589-c0_g2_i1	macro	0.0001	0.0780	0.0010
TR34601-c0_g2_i1	macro	0.0000	0.0331	0.0010
TR34613-c1_g1_i1	macro	0.0009	0.3150	0.0029
TR34615-c2_g3_i1	macro	0.0000	0.0164	0.0010
TR34618-c0_g3_i4	macro	0.0000	0.0106	0.0010
TR34628-c6_g2_i4	macro	0.1218	0.2528	0.4818
TR34630-c0_g1_i2	macro	0.0000	0.0069	0.0010
TR34630-c0_g4_i2	macro	0.0093	0.0587	0.1587
TR34631-c1_g2_i1	macro	0.0055	0.0001	99.0000
TR34651-c0_g5_i1	macro	0.0000	0.0319	0.0010
TR34693-c0_g1_i1	macro	0.0065	0.0219	0.2956
TR3469-c1_g4_i2	macro	0.0059	0.0001	99.0000
TR34733-c1_g1_i2	macro	0.0031	0.0388	0.0795
TR34734-c0_g3_i2	macro	0.0138	0.0301	0.4581
TR34735-c0_g2_i1	macro	0.0000	0.0327	0.0010
TR34737-c0_g3_i1	macro	0.0274	0.0516	0.5305
TR34757-c0_g1_i1	macro	0.0000	0.0259	0.0010
TR34770-c1_g4_i1	macro	0.0407	15.9974	0.0025
TR34771-c1_g2_i5	macro	0.0079	0.0240	0.3272
TR3477-c0_g1_i1	macro	0.0067	0.0556	0.1202
TR34800-c0_g2_i1	macro	0.0193	0.0822	0.2344
TR34846-c0_g2_i1	macro	0.0001	0.0517	0.0010
TR34850-c0_g1_i1	macro	0.0039	0.0371	0.1060
TR34862-c0_g2_i1	macro	0.0071	0.0561	0.1273
TR34862-c2_g1_i1	macro	0.0000	0.0424	0.0010
TR34877-c1_g1_i2	macro	0.0024	0.0061	0.3960
TR34890-c0_g8_i2	macro	0.0033	0.0116	0.2813
TR34907-c0_g1_i1	macro	0.0000	0.0353	0.0010
TR34927-c0_g1_i1	macro	0.0000	0.0000	1.9770
TR34978-c1_g1_i1	macro	0.0057	0.0458	0.1253
TR34996-c0_g1_i1	macro	0.0105	0.0349	0.3022
TR35005-c3_g3_i2	macro	0.0034	0.0190	0.1810
TR35023-c1_g2_i1	macro	0.0000	0.0041	0.0010
TR35034-c1_g2_i1	macro	0.0001	0.0692	0.0010
TR35034-c1_g3_i4	macro	0.0000	0.0262	0.0010
TR35050-c0_g3_i1	macro	0.0001	0.1228	0.0010
TR35062-c0_g1_i1	macro	0.0253	0.1175	0.2150
TR35063-c1_g1_i1	macro	0.0104	0.0083	1.2593
